#Nbpts	#Mean	#Var	#Min	#Max	#VOID	#VOID	#NbPtsets	#VOID
3	0.007421515981411014144	0	0.007421515981411014144	0.007421515981411014144	0	0	1	0
9	0.0001002594358612127803	0	0.0001002594358612127803	0.0001002594358612127803	0	0	1	0
27	0.00001086844445899402462	0	0.00001086844445899402462	0.00001086844445899402462	0	0	1	0
81	2.375346655432029354e-7	0	2.375346655432029354e-7	2.375346655432029354e-7	0	0	1	0
243	1.63979606217313984e-9	0	1.63979606217313984e-9	1.63979606217313984e-9	0	0	1	0
729	1.9420892573038417e-11	0	1.9420892573038417e-11	1.9420892573038417e-11	0	0	1	0
2187	8.385950960857957604e-13	0	8.385950960857957604e-13	8.385950960857957604e-13	0	0	1	0
6561	2.8101714663826498e-14	0	2.8101714663826498e-14	2.8101714663826498e-14	0	0	1	0
