#Nbpts	#Mean	#Var	#Min	#Max	#VOID	#VOID	#NbPtsets	#VOID
3	0.004168100807398029614	0	0.004168100807398029614	0.004168100807398029614	0	0	1	0
4	0.005648016119781103066	0	0.005648016119781103066	0.005648016119781103066	0	0	1	0
6	0.001939056772789033486	0	0.001939056772789033486	0.001939056772789033486	0	0	1	0
9	0.0005983360286516171966	0	0.0005983360286516171966	0.0005983360286516171966	0	0	1	0
13	0.0003042994387959798656	0	0.0003042994387959798656	0.0003042994387959798656	0	0	1	0
19	0.0001107179445809685682	0	0.0001107179445809685682	0.0001107179445809685682	0	0	1	0
27	0.00002022826034450930744	0	0.00002022826034450930744	0.00002022826034450930744	0	0	1	0
39	0.00003553325767058944845	0	0.00003553325767058944845	0.00003553325767058944845	0	0	1	0
56	0.00003257620140019257878	0	0.00003257620140019257878	0.00003257620140019257878	0	0	1	0
81	0.00002406646746083503812	0	0.00002406646746083503812	0.00002406646746083503812	0	0	1	0
117	0.00002465973698934487604	0	0.00002465973698934487604	0.00002465973698934487604	0	0	1	0
168	0.00001107260604857570246	0	0.00001107260604857570246	0.00001107260604857570246	0	0	1	0
243	8.443618064997631407e-6	0	8.443618064997631407e-6	8.443618064997631407e-6	0	0	1	0
350	3.43958073479146701e-6	0	3.43958073479146701e-6	3.43958073479146701e-6	0	0	1	0
505	1.553664770623398404e-6	0	1.553664770623398404e-6	1.553664770623398404e-6	0	0	1	0
