0	0.0370367	0.00661426	0	0	0.111111	0	0	0.111111
141	0.0772696	0.0867641	0	0	0.111111	0	0	0.111111
131	0.157146	0.0546459	0.111111	0.111111	0	-0.111111	0.111111	0
80	0.173781	0.104898	0.111111	0.111111	0	-0.111111	0.111111	0
91	0.286438	0.0239644	0.222222	0	0.111111	0	0	0.111111
40	0.308936	0.0450344	0.222222	0	0.111111	0	0	0.111111
17	0.261072	0.178176	0.333333	0.111111	0	0.111111	-0.111111	0
105	0.212125	0.212009	0.222222	0.222222	-0.111111	0	0	-0.111111
45	0.120525	0.124121	0.222222	0.222222	-0.111111	0	0	-0.111111
58	0.0952173	0.191193	0.111111	0.111111	0	0.111111	-0.111111	0
109	0.0520787	0.157541	0.111111	0.111111	0	0.111111	-0.111111	0
86	0.0117968	0.280601	0	0.222222	0.111111	0	0	0.111111
35	0.0268057	0.308674	0	0.222222	0.111111	0	0	0.111111
22	0.190394	0.260658	0.111111	0.333333	0	-0.111111	0.111111	0
63	0.249935	0.245921	0.222222	0.222222	0.111111	0	0	0.111111
123	0.327995	0.318173	0.222222	0.222222	0.111111	0	0	0.111111
97	0.391769	0.231795	0.333333	0.333333	0	-0.111111	0.111111	0
37	0.417296	0.270747	0.333333	0.333333	0	-0.111111	0.111111	0
120	0.435813	0.165597	0.444444	0.222222	-0.111111	0	0	-0.111111
69	0.3558	0.13811	0.444444	0.222222	-0.111111	0	0	-0.111111
14	0.376013	0.0731212	0.333333	0.111111	0	-0.111111	0.111111	0
115	0.510245	0.032117	0.444444	0	0.111111	0	0	0.111111
55	0.553196	0.0645605	0.444444	0	0.111111	0	0	0.111111
32	0.496125	0.197678	0.555556	0.111111	0	0.111111	-0.111111	0
83	0.481096	0.114326	0.555556	0.111111	0	0.111111	-0.111111	0
6	0.44722	0.222756	0.444444	0.222222	0.111111	0	0	0.111111
138	0.542654	0.299642	0.444444	0.222222	0.111111	0	0	0.111111
128	0.585632	0.290822	0.555556	0.333333	0	-0.111111	0.111111	0
77	0.621431	0.326288	0.555556	0.333333	0	-0.111111	0.111111	0
19	0.630485	0.146795	0.666667	0.222222	-0.111111	0	0	-0.111111
51	0.576593	0.0148688	0.555556	0.111111	0	-0.111111	0.111111	0
102	0.644734	0.094667	0.555556	0.111111	0	-0.111111	0.111111	0
25	0.739566	0.0785967	0.666667	0	0.111111	0	0	0.111111
66	0.778146	0.0378793	0.777778	0.111111	0	-0.111111	0.111111	0
117	0.878466	0.101103	0.777778	0.111111	0	-0.111111	0.111111	0
89	0.913183	0.0107255	0.888889	0	0.111111	0	0	0.111111
29	0.937714	0.0605323	0.888889	0	0.111111	0	0	0.111111
135	0.968021	0.185857	1	0.111111	0	0.111111	-0.111111	0
3	0.892143	0.219962	1	0.111111	0	0.111111	-0.111111	0
43	0.848702	0.151252	0.888889	0.222222	-0.111111	0	0	-0.111111
94	0.828817	0.173225	0.888889	0.222222	-0.111111	0	0	-0.111111
74	0.72553	0.20426	0.777778	0.111111	0	0.111111	-0.111111	0
134	0.695002	0.129904	0.777778	0.111111	0	0.111111	-0.111111	0
